id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
40948,SK-244,small_airport,"Santa Bárbara Airport",2.458333,-75.741944,2696,SA,Colombia,CO,"Huila Department",CO-HUI,HUI,Tesalia,0,,,,TSI,,,,50,2009-10-20T10:45:44+00:00
6165,SKTB,small_airport,"Tibú Airport",8.63152,-72.7304,194,SA,Colombia,CO,"Norte de Santander Department",CO-NSA,NSA,Tibú,0,SKTB,SKTB,TIB,TBU,,https://en.wikipedia.org/wiki/Tib%C3%BA_Airport,,50,2024-05-16T20:31:47+00:00
40963,SK-199,small_airport,"Chapinero Airport",7.346944,-76.079722,2360,SA,Colombia,CO,"Córdoba Department",CO-COR,COR,Tierralta,0,,,,CHR,,,,50,2009-10-20T10:45:40+00:00
40967,SK-208,small_airport,"Urra Airport",8.005278,-76.2275,592,SA,Colombia,CO,"Córdoba Department",CO-COR,COR,Tierralta,0,,,,URT,,,,50,2009-10-20T10:45:41+00:00
41082,SKMB,small_airport,"Timbiqui Airport",2.778569,-77.668045,145,SA,Colombia,CO,"Cauca Department",CO-CAU,CAU,Timbiqui,0,SKMB,SKMB,TBD,TBD,,https://en.wikipedia.org/wiki/Timbiqui_Airport,,50,2024-04-25T21:46:59+00:00
32429,SKTD,small_airport,"Trinidad Airport",5.43278,-71.6625,649,SA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Trinidad,0,SKTD,SKTD,TDA,TDA,,https://en.wikipedia.org/wiki/Trinidad_Airport,,50,2024-05-21T16:36:38+00:00
40616,SK-103,small_airport,"Los Toros Airport",5.4275,-71.216389,447,SA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Trinidad,0,,,,TRI,,,,50,2009-10-20T10:45:34+00:00
40619,SK-113,small_airport,"Palmarito Airport",5.332222,-71.234722,449,SA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Trinidad,0,,,,TRD,,,,50,2009-10-20T10:45:34+00:00
40622,SK-104,small_airport,"Malabares Airport",5.468889,-71.369167,489,SA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Trinidad,0,,,,MAL,,,,50,2009-10-20T10:45:34+00:00
40649,SK-075,small_airport,"Elf Trinidad Airport",5.504444,-71.770833,581,SA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Trinidad,0,,,,TDI,,,,50,2009-10-20T10:45:32+00:00
41008,SK-361,small_airport,"Guinulero Airport",1.727778,-78.940278,23,SA,Colombia,CO,"Nariño Department",CO-NAR,NAR,Tumaco,0,,,,GUI,,,,50,2009-10-20T10:45:54+00:00
